,n1,n2,s1,s2,year,kind,s1p,s2p
1508,Russland,Saudi-Arabien,5,0,2018,wm2018,0,0
1509,Aegypten,Uruguay,0,1,2018,wm2018,0,3
1510,Russland,Aegypten,3,1,2018,wm2018,0,1
1511,Uruguay,Saudi-Arabien,1,0,2018,wm2018,0,0
1512,Uruguay,Russland,3,0,2018,wm2018,0,2
1513,Saudi-Arabien,Aegypten,2,1,2018,wm2018,0,2
1514,Marokko,Iran,0,1,2018,wm2018,0,1
1515,Portugal,Spanien,3,3,2018,wm2018,0,1
1516,Portugal,Marokko,1,0,2018,wm2018,0,0
1517,Iran,Spanien,0,1,2018,wm2018,0,0
1518,Spanien,Marokko,2,2,2018,wm2018,0,0
1519,Iran,Portugal,1,1,2018,wm2018,0,0
1520,Frankreich,Australien,2,1,2018,wm2018,0,1
1521,Peru,Daenemark,0,1,2018,wm2018,0,1
1522,Daenemark,Australien,1,1,2018,wm2018,0,2
1523,Frankreich,Peru,1,0,2018,wm2018,0,1
1524,Daenemark,Frankreich,0,0,2018,wm2018,0,2
1525,Australien,Peru,0,2,2018,wm2018,0,1
1526,Argentinien,Island,1,1,2018,wm2018,0,1
1527,Kroatien,Nigeria,2,0,2018,wm2018,0,1
1528,Argentinien,Kroatien,0,3,2018,wm2018,0,1
1529,Nigeria,Island,2,0,2018,wm2018,0,2
1530,Island,Kroatien,1,2,2018,wm2018,0,0
1531,Nigeria,Argentinien,1,2,2018,wm2018,0,2
1532,Costa Rica,Serbien,0,1,2018,wm2018,0,0
1533,Brasilien,Schweiz,1,1,2018,wm2018,0,1
1534,Brasilien,Costa Rica,2,0,2018,wm2018,0,0
1535,Serbien,Schweiz,1,2,2018,wm2018,0,2
1536,Serbien,Brasilien,0,2,2018,wm2018,0,4
1537,Schweiz,Costa Rica,2,2,2018,wm2018,0,0
1538,Deutschland,Mexiko,0,1,2018,wm2018,0,2
1539,Schweden,Suedkorea,1,0,2018,wm2018,0,0
1540,Suedkorea,Mexiko,1,2,2018,wm2018,0,1
1541,Deutschland,Schweden,2,1,2018,wm2018,0,4
1542,Mexiko,Schweden,0,3,2018,wm2018,0,0
1543,Suedkorea,Deutschland,2,0,2018,wm2018,0,2
1544,Belgien,Panama,3,0,2018,wm2018,0,0
1545,Tunesien,England,1,2,2018,wm2018,0,1
1546,Belgien,Tunesien,5,2,2018,wm2018,0,0
1547,England,Panama,6,1,2018,wm2018,0,0
1548,England,Belgien,0,1,2018,wm2018,0,0
1549,Panama,Tunesien,1,2,2018,wm2018,0,1
1550,Kolumbien,Japan,1,2,2018,wm2018,0,1
1551,Polen,Kolumbien,0,3,2018,wm2018,0,2
1552,Japan,Polen,0,1,2018,wm2018,0,2
1553,Frankreich,Argentinien,4,3,2018,wm2018,0,1
1554,Uruguay,Portugal,2,1,2018,wm2018,0,1
1555,Spanien,Russland,3,4,2018,wm2018,0,1
1556,Kroatien,Daenemark,3,2,2018,wm2018,0,0
1557,Brasilien,Mexiko,2,0,2018,wm2018,0,0
1558,Belgien,Japan,3,2,2018,wm2018,0,0
1559,Schweden,Schweiz,1,0,2018,wm2018,0,2
1560,Kolumbien,England,3,4,2018,wm2018,0,0
1561,Uruguay,Frankreich,0,2,2018,wm2018,0,0
1562,Brasilien,Belgien,1,2,2018,wm2018,0,0
1563,Schweden,England,0,2,2018,wm2018,0,5
1564,Russland,Kroatien,3,4,2018,wm2018,0,3
1565,Frankreich,Belgien,1,0,2018,wm2018,0,4
1566,Kroatien,England,2,1,2018,wm2018,0,4
1567,Belgien,England,2,0,2018,wm2018,0,1
1568,Frankreich,Kroatien,4,2,2018,wm2018,0,1
